CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT,MEDV
0.4735,26,29.62,0,0.44,5.5,56.7,4.5717,14,354.2,13.7,139.83,5.81,15.1
0.47977,84,23.62,0,0.64,8.71,25.5,4.8121,22,404.9,28.8,219.5,20.94,23.1
1.43896,5,14.74,0,0.57,8.17,68.5,9.639,17,496.4,24.6,76.78,39.64,37.0
0.57257,88,17.65,0,0.54,4.59,63.3,7.8732,3,399.6,27.9,92.49,33.66,40.0
0.22276,17,17.2,1,0.54,8.82,8.2,9.5662,10,305.1,25.8,334.55,20.06,37.3
0.28727,68,1.48,1,0.47,8.44,77.0,4.0819,10,215.7,11.4,319.04,21.06,5.8
0.59805,56,11.56,1,0.48,8.29,9.0,6.3143,11,378.7,14.9,341.73,2.61,35.4
0.03106,32,12.67,0,0.5,8.62,62.9,8.9442,7,325.3,27.0,191.36,33.58,15.9
0.54946,81,3.89,1,0.4,6.67,69.1,3.9875,4,589.3,11.0,264.85,15.89,34.1
0.5553,72,1.24,1,0.56,8.85,59.3,2.5625,15,109.2,24.2,183.28,2.08,22.1
0.1181,73,0.14,0,0.7,4.13,37.3,3.3635,22,442.2,23.6,99.65,37.05,30.8
0.06901,100,10.7,0,0.5,6.81,60.6,3.3873,5,471.1,18.9,2.48,18.16,15.1
0.18948,31,7.28,1,0.54,5.87,55.3,9.097,18,692.7,21.5,367.92,27.31,35.5
0.22605,94,16.66,0,0.66,6.82,59.5,8.0363,14,631.2,15.2,278.84,22.06,45.6
0.42221,73,27.72,1,0.56,8.49,81.0,5.9418,21,410.5,21.8,312.73,31.8,20.1
0.28866,48,1.17,1,0.58,6.25,82.6,5.9177,11,273.1,23.8,29.65,38.53,7.9
2.22725,99,13.06,1,0.51,5.14,75.7,2.4553,13,106.1,17.7,353.16,25.22,47.3
0.05382,32,20.03,1,0.54,5.79,48.2,3.9799,24,244.5,13.0,58.69,5.56,29.7
0.11715,14,2.53,0,0.56,6.23,35.5,2.873,11,608.5,28.9,337.22,23.94,42.4
0.08796,61,18.36,0,0.63,6.27,87.8,4.759,18,684.0,29.8,305.89,2.24,47.6
0.52937,87,11.07,0,0.66,5.69,87.7,6.1226,8,520.6,11.4,295.53,14.45,44.4
0.14604,32,22.96,0,0.6,6.31,81.4,2.5122,23,462.3,11.1,274.88,3.89,28.4
0.31397,56,7.43,1,0.53,5.73,88.4,8.3693,8,463.7,17.3,81.0,12.14,49.0
0.14014,28,3.7,1,0.65,5.5,39.5,5.2781,22,489.9,28.8,263.12,36.05,24.7
0.08656,43,3.21,1,0.47,8.31,53.4,2.9033,19,101.1,17.6,43.44,9.26,16.2
0.05848,97,14.84,1,0.51,8.23,57.0,6.6053,7,322.0,14.6,343.85,31.52,44.1
0.53404,50,16.86,1,0.49,5.42,71.8,1.2955,24,297.6,29.5,80.15,16.46,44.7
0.07436,46,6.56,1,0.53,8.46,78.2,5.118,2,686.8,14.7,175.84,15.4,7.7
0.10944,72,16.52,0,0.62,6.12,56.2,1.576,9,100.4,23.7,362.42,33.93,38.2
0.23001,37,21.54,1,0.45,5.73,90.3,7.3195,5,541.8,12.2,318.17,17.09,20.1
0.86017,2,7.49,1,0.67,5.07,22.5,5.826,17,343.2,22.6,15.25,39.31,43.7
0.05107,17,0.3,0,0.57,7.56,40.9,6.5309,20,138.9,12.9,195.4,8.76,15.9
0.90991,15,24.93,0,0.53,4.15,5.7,1.7509,15,316.6,15.6,210.06,35.3,31.1
0.05052,67,25.31,1,0.44,7.0,98.2,3.0323,22,176.7,18.7,334.11,11.57,10.9
1.87452,85,11.33,0,0.58,4.14,80.1,4.7606,9,122.4,25.3,238.79,22.66,44.7
0.31617,93,28.15,1,0.5,5.46,12.4,8.5105,16,510.1,21.1,26.37,5.67,11.1
1.88096,22,24.8,0,0.62,8.87,33.4,5.7181,16,114.8,13.6,167.89,2.83,34.2
0.46424,82,9.52,0,0.69,6.96,53.4,4.8377,1,107.2,25.1,264.08,15.54,15.2
0.67212,7,17.95,0,0.46,5.47,29.7,4.0225,20,355.6,22.8,395.21,7.99,39.0
0.01999,55,12.12,0,0.41,5.44,11.8,3.0845,22,178.3,10.4,153.63,20.04,13.3
0.16621,49,3.51,0,0.46,4.63,59.9,1.423,24,367.7,11.3,393.84,10.48,39.1
0.06403,26,12.37,0,0.57,5.65,22.4,3.1499,12,319.6,11.8,219.54,2.52,27.8
0.17559,4,25.31,0,0.44,6.25,63.3,3.5787,19,161.4,15.0,185.5,29.01,36.9
0.06319,89,15.69,0,0.51,7.57,69.1,8.0915,23,483.8,15.5,166.17,14.02,28.4
0.19135,26,18.25,0,0.46,6.83,81.4,8.2041,3,489.8,23.5,231.74,7.72,30.0
0.26744,60,10.8,1,0.62,4.21,44.7,4.3924,9,486.8,23.0,171.41,37.97,32.2
0.03315,83,5.27,1,0.4,5.73,69.8,1.2261,20,618.8,27.4,153.39,20.05,15.3
0.58959,78,17.1,1,0.41,4.25,3.5,5.2403,1,104.1,26.3,391.27,22.96,30.9
0.41805,18,16.55,0,0.62,8.69,63.1,9.0871,23,116.6,25.8,197.8,38.53,16.9
0.15421,96,28.68,1,0.69,6.13,43.5,7.566,5,413.9,21.8,312.08,5.61,18.5
0.37038,91,0.28,0,0.58,6.99,80.9,1.6899,22,379.6,12.1,202.52,8.11,27.5
0.04933,36,26.94,0,0.42,7.65,98.8,7.111,8,694.3,23.8,92.77,28.7,15.3
0.42895,20,27.78,0,0.64,4.02,29.2,6.3166,15,314.5,16.0,379.35,22.87,32.9
1.32463,3,7.22,0,0.41,4.53,89.4,8.6466,10,333.5,25.7,352.52,17.2,18.5
0.19178,18,1.37,1,0.46,6.68,10.6,5.2473,4,601.4,17.3,56.77,5.37,13.4
0.55042,77,25.47,0,0.54,7.01,45.2,3.1935,11,473.9,12.7,353.99,23.77,45.4
0.07067,51,5.07,0,0.58,7.62,69.5,8.7165,23,142.6,22.1,78.81,18.22,24.6
0.62997,49,11.91,1,0.52,4.57,86.3,7.8846,23,134.6,27.7,227.45,27.17,47.4
0.17083,31,13.6,0,0.59,5.79,22.1,6.9239,5,417.1,13.5,372.41,12.72,23.7
0.10118,97,9.75,1,0.56,7.73,49.3,1.2502,21,338.1,15.9,225.8,16.7,5.5
0.44156,18,12.8,0,0.67,5.2,97.6,4.6783,21,541.3,15.3,84.65,13.01,14.0
0.01016,12,9.34,0,0.7,8.84,73.7,2.2538,13,476.8,25.6,105.98,8.84,42.6
0.88287,91,15.76,0,0.62,8.87,39.4,5.1551,20,100.2,13.0,271.43,20.81,21.2
0.00235,98,1.2,0,0.43,6.43,49.8,9.1298,16,110.1,18.8,298.82,33.34,43.1
0.56632,71,17.73,0,0.5,4.65,92.0,2.6133,21,603.8,17.5,236.7,2.34,22.5
0.15736,94,4.59,1,0.56,4.09,48.7,4.7179,15,198.8,25.4,112.57,19.93,18.4
0.66438,45,29.29,0,0.48,4.59,5.8,3.9855,5,441.8,18.8,74.71,30.33,41.0
1.63757,80,19.37,1,0.66,5.88,20.5,1.2771,24,664.3,15.0,261.86,25.73,8.3
0.14301,65,0.24,1,0.46,5.69,0.4,2.4627,15,680.0,11.6,91.73,39.73,44.4
0.4292,88,1.17,1,0.46,7.86,48.0,4.9404,4,606.6,19.7,65.11,3.23,23.9
0.4483,16,8.09,1,0.67,6.85,97.3,8.1753,19,633.4,15.0,52.46,7.31,19.8
0.42461,45,22.92,1,0.6,6.19,80.2,3.3143,24,643.0,23.7,295.54,13.47,14.9
0.12621,91,2.77,1,0.59,4.71,4.1,6.5554,7,145.9,14.8,284.76,1.24,31.7
1.52614,37,19.86,0,0.61,4.72,93.1,4.5489,11,614.3,20.7,370.99,21.26,47.7
0.29631,50,16.55,1,0.46,7.81,11.1,6.1696,21,349.4,22.7,104.69,25.98,20.9
0.93673,24,13.1,0,0.58,8.69,2.3,5.0073,15,125.6,28.0,235.78,17.33,15.4
0.60112,48,5.32,0,0.61,5.28,21.2,7.7189,13,419.9,28.1,367.85,17.28,16.1
0.17651,76,0.98,0,0.48,6.64,50.0,4.1952,19,170.0,23.4,89.4,35.21,9.1
0.84046,4,15.37,1,0.65,8.1,7.8,9.6122,9,147.5,14.3,181.59,24.86,15.7
0.25251,51,15.44,0,0.57,8.03,78.1,5.5636,23,380.5,11.2,386.33,11.28,34.0
1.06475,46,0.45,0,0.55,7.21,1.7,2.5942,9,288.9,25.0,381.95,13.47,37.1
0.43527,40,19.28,1,0.66,4.21,21.8,6.9855,19,628.8,17.2,204.63,8.83,23.7
1.06742,14,10.84,1,0.46,4.79,59.8,4.5011,14,289.4,12.4,179.47,11.32,47.5
0.58969,10,14.44,1,0.41,8.2,41.1,1.4681,19,593.5,26.7,377.93,27.14,12.5
0.64595,27,13.77,0,0.63,8.06,46.0,3.8752,21,102.9,20.7,239.78,25.87,37.2
0.3479,78,20.93,1,0.47,7.33,67.0,8.6352,19,669.5,29.0,98.78,11.2,23.2
1.56273,13,15.19,1,0.43,6.89,36.0,5.3503,15,132.6,21.6,206.93,22.05,15.8
0.5164,4,11.1,1,0.48,5.33,24.1,4.6603,16,257.7,29.0,229.02,34.56,13.8
0.2757,86,5.89,0,0.45,7.32,91.8,9.2122,10,114.9,21.0,220.92,11.47,12.5
0.4662,15,0.9,0,0.48,4.54,34.5,6.6556,14,675.6,13.4,162.27,1.97,49.0
0.00969,29,6.79,1,0.43,8.77,47.8,4.1483,19,131.0,29.3,58.57,11.77,22.5
0.17946,78,18.65,1,0.54,6.87,82.0,5.9932,12,309.4,11.8,347.22,37.69,32.4
0.53966,42,7.74,0,0.61,4.37,63.3,4.814,10,498.3,13.7,44.93,1.8,24.5
0.1713,25,20.36,0,0.67,8.3,62.0,3.8973,9,293.2,29.9,55.79,5.74,41.5
0.48119,75,28.13,1,0.62,6.83,63.9,6.4499,16,104.5,25.6,59.7,7.78,39.1
0.27998,95,7.7,0,0.43,5.13,81.0,9.8242,2,244.3,26.8,15.76,28.55,7.1
0.07279,91,23.21,0,0.56,4.23,52.6,4.4609,14,528.8,19.4,343.09,39.17,33.9
0.17711,22,19.68,1,0.42,8.92,7.6,1.4648,23,327.0,17.6,356.68,23.94,48.6
0.42194,43,11.99,1,0.57,6.48,66.6,4.2351,1,592.2,15.4,49.03,4.45,43.3
0.44686,84,21.19,0,0.56,5.12,16.5,3.0069,1,543.4,11.1,184.63,18.86,18.3
0.42704,55,8.39,0,0.4,6.88,82.9,4.0637,10,451.6,10.9,157.27,31.54,32.5
0.5295,2,8.98,1,0.63,4.97,15.7,5.5662,1,156.7,16.6,50.46,7.98,25.3
0.52792,25,12.01,1,0.59,5.31,95.6,1.6582,19,689.2,14.5,345.76,12.54,31.3
0.28231,0,12.71,0,0.54,8.62,71.0,1.8266,20,412.4,23.3,345.63,27.04,30.3
1.13432,95,16.57,1,0.68,5.52,26.3,6.0598,20,256.1,13.4,296.33,13.4,38.0
0.22909,56,11.5,1,0.54,6.64,20.7,8.8214,4,461.3,28.2,66.63,29.43,19.4
0.28623,70,25.66,0,0.54,5.46,87.8,5.1886,1,524.1,29.4,105.45,32.01,24.5
1.11246,82,18.99,1,0.45,6.08,23.1,2.6731,5,380.5,19.5,76.92,33.4,31.1
0.82045,86,27.42,1,0.6,6.95,41.2,9.3499,19,485.1,11.0,332.99,22.5,5.4
0.60851,62,10.99,1,0.45,7.81,46.0,6.806,4,164.8,13.4,187.05,15.77,17.2
0.05281,46,29.54,0,0.49,4.04,12.4,6.6927,9,624.4,15.3,60.18,25.12,26.9
1.25964,89,21.34,1,0.61,5.07,73.5,8.1764,15,508.4,27.5,4.04,8.26,13.1
0.6263,77,23.05,1,0.49,8.02,10.8,5.643,7,563.8,27.8,111.4,8.98,37.4
3.3827,12,17.34,1,0.58,5.32,85.4,9.078,5,168.2,29.3,389.65,32.93,9.7
0.08094,62,26.38,1,0.69,4.56,53.2,3.7219,24,411.6,15.3,12.68,32.87,37.5
1.01295,37,2.94,1,0.41,5.66,61.7,9.4249,4,515.6,13.5,364.58,16.87,42.0
0.08866,83,23.39,1,0.52,7.4,82.9,2.912,21,413.4,20.5,23.18,19.23,35.9
0.47798,31,19.56,1,0.67,7.26,33.6,2.4482,23,159.5,16.9,268.71,17.76,46.3
0.06609,28,25.23,1,0.58,8.25,96.5,3.5487,19,136.4,18.0,139.88,18.64,37.0
0.94196,59,26.38,0,0.68,8.7,61.2,3.6211,1,469.6,19.0,182.2,9.88,15.0
0.82336,83,13.95,1,0.69,7.37,12.4,5.2532,2,578.1,11.2,88.46,9.51,42.0
0.42094,40,28.87,1,0.65,8.3,28.8,1.9936,23,698.0,16.5,135.41,33.48,15.9
0.26144,89,24.42,1,0.5,5.31,49.6,9.0407,10,440.9,24.9,123.24,27.02,42.4
0.03584,29,26.07,1,0.41,6.21,68.5,9.6163,16,237.7,19.6,283.56,39.06,31.5
0.59772,28,0.39,1,0.69,5.59,20.2,2.157,19,343.0,25.3,348.5,7.25,28.1
0.30215,52,28.43,1,0.46,7.85,42.7,6.7289,19,164.0,23.4,163.73,37.01,31.1
0.64017,42,7.64,0,0.47,7.74,10.8,6.705,9,348.3,28.8,326.49,30.86,22.7
1.00639,10,18.91,0,0.6,6.01,18.1,3.6001,16,604.1,23.8,4.62,21.58,17.2
1.85498,84,13.7,0,0.61,7.33,75.8,9.0922,17,334.1,21.2,315.08,26.48,25.7
0.96829,17,18.35,1,0.69,4.07,60.9,6.8926,22,131.0,13.1,210.38,33.67,11.2
0.00589,0,17.43,0,0.58,8.53,45.2,3.2851,15,199.5,28.4,333.49,21.58,32.9
0.22313,39,23.14,1,0.53,6.11,0.7,6.3252,19,501.8,29.9,89.62,26.25,29.6
0.65465,38,16.55,1,0.44,8.53,6.6,3.6643,13,514.7,26.8,150.7,39.09,35.3
0.09415,98,16.8,0,0.66,4.23,76.4,2.4213,16,218.8,11.9,279.08,29.09,33.7
0.36807,65,17.75,1,0.41,4.42,9.4,4.1282,16,586.1,12.2,339.37,4.06,46.6
0.02794,48,6.55,0,0.66,6.5,77.1,5.844,19,268.5,17.3,191.33,28.96,28.3
0.11157,86,20.5,0,0.5,5.11,72.4,6.838,8,433.4,23.9,338.54,38.98,5.6
0.00935,45,29.49,0,0.67,7.65,51.4,8.5066,24,284.6,26.5,219.33,16.24,44.6
0.78921,49,27.78,0,0.66,7.41,35.9,7.0486,15,515.9,13.6,396.55,2.69,10.4
0.12675,22,7.05,0,0.61,7.15,90.0,3.6902,22,325.4,22.5,361.88,29.37,37.8
0.21183,92,29.33,0,0.41,8.2,17.7,3.9898,8,557.1,13.2,154.25,13.06,13.9
1.31611,65,24.9,0,0.61,8.23,85.5,5.9983,15,390.1,12.2,382.19,36.8,10.5
0.6094,85,29.0,1,0.57,5.35,76.3,8.5898,19,484.2,19.4,306.14,8.12,48.0
0.01618,66,29.24,1,0.48,5.1,66.8,5.7087,5,655.6,27.2,210.2,15.69,6.6
0.08998,32,13.97,0,0.57,7.39,94.2,7.8476,16,361.2,22.6,396.42,1.92,6.4
0.48574,50,18.8,0,0.65,4.55,99.6,6.1338,2,430.4,23.6,277.99,18.11,25.2
0.43046,70,7.99,1,0.46,5.01,78.9,6.8029,7,213.5,17.9,77.84,8.41,31.4
0.13583,35,6.26,0,0.5,8.45,22.9,8.7073,2,516.1,15.3,45.61,24.29,12.9
1.36067,100,13.45,0,0.43,7.21,68.5,4.9511,23,227.6,28.6,104.85,30.1,37.6
0.47591,23,7.52,1,0.63,4.98,40.0,7.2779,13,514.0,18.2,294.2,11.91,47.3
0.38354,82,25.58,0,0.43,7.42,12.2,8.5055,10,653.9,20.3,220.18,6.22,27.4
0.44569,89,1.75,1,0.67,4.93,84.9,6.8364,24,664.8,11.4,158.86,5.67,10.5
0.65489,79,8.67,1,0.55,7.19,33.5,1.5611,24,581.1,11.4,303.37,10.93,43.0
0.18694,27,5.33,1,0.48,5.08,96.4,5.3735,8,423.5,25.2,9.51,33.31,47.4
0.25393,85,2.96,1,0.42,7.57,81.1,6.3596,16,602.3,28.6,325.43,17.89,42.5
0.11776,1,15.29,0,0.65,8.91,80.0,3.6066,15,374.7,22.7,299.31,8.53,30.4
0.10302,9,25.64,0,0.52,6.46,82.7,6.4728,10,326.2,28.0,72.08,12.06,42.8
1.44454,81,13.07,0,0.67,7.31,40.8,9.136,10,521.4,25.5,155.61,14.65,22.0
0.67267,11,7.96,1,0.62,9.0,8.2,6.4392,5,224.4,12.6,15.04,8.95,27.5
0.33712,64,26.46,1,0.43,6.01,99.5,1.1704,20,144.6,11.3,4.72,22.04,8.7
0.12901,67,27.63,1,0.63,8.06,96.4,5.651,4,319.6,28.8,398.51,23.21,19.6
0.14675,61,15.17,1,0.65,4.51,46.8,3.5779,22,304.4,13.2,195.28,31.4,46.2
0.02989,54,19.74,0,0.43,4.06,82.8,5.8325,6,172.3,22.6,148.81,28.13,43.4
0.28495,36,1.84,0,0.6,8.83,47.7,7.5451,11,612.7,14.7,78.47,10.59,31.7
0.18683,84,10.24,0,0.47,7.04,92.6,2.0858,7,500.9,20.3,322.88,7.14,45.7
0.59593,19,11.69,0,0.5,5.85,40.0,1.3108,23,115.5,19.8,282.3,36.25,24.2
0.23721,69,15.16,1,0.44,6.28,87.9,9.9687,10,424.1,24.4,0.62,33.2,47.2
0.09898,84,25.46,1,0.41,4.53,1.3,2.5822,23,192.3,26.4,308.49,1.29,47.6
0.01249,62,24.29,0,0.66,4.14,34.1,8.8044,9,406.7,30.0,44.59,1.91,30.6
0.03481,68,0.29,1,0.68,7.78,61.6,3.4448,11,562.8,14.2,379.45,20.06,7.3
0.56877,41,4.66,0,0.62,6.68,85.5,6.1706,22,347.8,18.7,133.09,33.7,44.8
0.30229,80,11.31,1,0.45,8.5,8.9,4.0475,19,458.1,17.5,180.44,37.09,46.0
0.38456,16,15.36,1,0.4,7.06,7.5,2.707,12,427.9,10.7,1.99,8.56,47.4
1.13492,57,18.21,1,0.51,6.34,78.8,5.2262,1,446.6,14.7,329.76,32.56,26.2
2.31983,5,4.33,1,0.56,6.98,56.6,8.1045,10,386.9,20.9,123.27,17.22,18.1
0.12225,96,20.89,1,0.53,7.21,13.2,7.9326,5,200.2,27.5,222.58,26.43,8.9
0.54395,22,26.72,0,0.6,5.69,47.7,7.5008,11,245.0,16.3,370.64,13.31,44.6
0.1528,3,6.71,1,0.48,7.15,20.5,8.9857,2,636.4,24.0,62.49,5.91,37.5
0.01043,8,16.2,1,0.49,5.7,75.1,3.1975,3,542.9,28.8,346.93,28.59,41.1
0.71019,62,29.69,0,0.4,8.54,81.6,4.4416,3,689.7,13.6,200.1,13.01,39.6
0.19284,92,19.32,0,0.59,5.11,44.1,2.748,23,132.5,12.2,369.78,2.16,41.8
0.24182,41,2.8,0,0.65,5.22,96.8,3.931,17,289.9,29.7,328.94,38.7,10.0
0.44375,74,23.2,1,0.67,7.7,63.5,3.0373,14,675.6,11.0,177.19,17.72,20.2
0.88907,92,15.24,1,0.58,7.89,26.0,1.3567,7,363.6,15.6,35.48,4.87,41.6
0.49575,95,3.36,0,0.46,6.57,6.6,9.3555,10,462.6,27.4,12.08,32.68,38.0
1.03041,11,15.45,0,0.52,7.42,69.7,7.9638,13,441.8,15.5,349.69,34.1,39.5
0.15979,34,22.66,1,0.51,5.68,59.0,3.7708,20,184.4,13.5,189.71,12.75,39.2
0.79986,91,3.51,1,0.42,5.16,34.3,6.8179,10,538.7,25.6,265.48,27.63,8.0
0.10267,49,10.69,1,0.4,7.21,73.9,1.0227,3,135.0,24.5,352.66,5.69,42.2
1.52659,71,2.47,1,0.49,6.63,3.9,7.8624,23,422.8,12.2,121.86,16.1,8.9
0.58156,39,4.54,1,0.61,8.46,85.2,5.7735,7,431.6,20.0,358.31,9.64,42.0
0.12136,58,1.57,0,0.6,6.44,19.1,2.1634,10,221.1,27.9,11.01,10.58,19.3
1.47224,5,6.78,0,0.63,4.54,3.3,4.4809,22,550.3,18.5,111.97,38.63,14.5
0.65625,73,13.63,0,0.66,7.95,89.2,1.9795,24,637.7,14.4,324.71,2.35,13.8
0.14648,88,23.74,1,0.68,5.85,61.8,5.8826,5,687.4,23.9,341.29,22.48,8.5
0.11996,12,20.59,1,0.64,5.26,12.4,3.5305,24,116.1,14.6,377.93,25.82,27.4
0.36511,97,17.63,1,0.41,6.7,62.8,7.158,8,285.8,28.2,121.2,14.02,40.3
0.013,59,29.6,1,0.69,4.53,88.9,9.3458,18,654.9,18.4,312.09,10.48,34.3
0.11626,78,13.91,1,0.49,4.27,58.5,1.3773,9,130.3,19.8,394.05,32.06,49.6
0.27642,15,27.45,0,0.67,7.09,75.1,4.005,10,263.2,23.9,210.8,7.67,39.7
0.23434,4,10.1,0,0.44,4.19,89.6,5.2179,21,420.0,17.2,101.04,26.37,37.8
0.31141,22,12.79,1,0.6,7.02,91.6,7.5221,2,544.1,28.8,15.58,39.99,23.5
0.16261,52,11.92,1,0.5,5.3,14.3,2.6358,16,236.8,15.5,303.86,33.67,10.4
0.44189,66,17.9,0,0.64,8.83,75.5,2.8935,18,280.2,29.3,55.54,17.52,22.1
0.99702,71,27.96,0,0.44,6.57,85.8,2.3438,6,216.7,17.8,154.78,27.59,43.7
0.06252,72,23.03,1,0.55,7.87,98.3,2.6927,8,365.8,25.6,123.71,23.95,20.1
0.36426,5,25.02,0,0.69,6.2,86.4,3.4712,14,402.6,26.2,166.74,26.43,10.5
0.07082,39,23.76,1,0.62,8.7,68.3,9.9353,3,639.5,22.4,362.4,13.15,28.9
0.63091,79,28.56,1,0.44,4.1,27.5,1.3731,3,562.5,26.2,170.38,20.69,32.3
0.25214,79,3.43,0,0.6,8.51,31.1,3.4121,7,529.2,21.8,365.1,3.98,10.3
0.41669,41,24.43,1,0.6,4.5,79.0,4.7923,19,443.6,22.0,322.16,10.05,39.5
0.10123,89,20.17,1,0.65,4.13,41.4,9.4075,5,297.1,12.8,115.35,16.59,27.9
0.07824,22,0.98,1,0.49,8.19,85.0,3.4495,14,142.0,27.8,127.24,7.11,31.4
0.33477,89,11.97,0,0.44,6.56,47.1,4.1259,13,255.3,13.1,147.94,7.22,6.7
0.21973,89,9.55,0,0.65,4.02,66.6,5.5867,22,216.8,20.1,242.26,7.95,14.7
1.41032,19,3.1,1,0.51,4.49,95.6,1.5997,14,236.7,16.4,269.63,22.51,24.8
0.72478,62,9.3,0,0.53,4.67,21.2,1.8108,14,236.1,15.8,388.89,18.64,9.7
0.69048,29,3.37,1,0.69,5.9,28.8,2.6718,18,358.3,13.4,370.61,25.26,37.8
1.17025,9,0.12,1,0.54,8.64,45.0,3.3568,11,328.4,21.0,244.75,39.26,14.8
0.04355,11,26.63,0,0.42,5.97,78.6,5.6673,9,302.2,26.9,18.5,24.67,21.3
0.4017,99,4.71,1,0.6,7.17,82.0,5.8165,3,628.7,19.9,218.12,9.79,6.5
0.43911,26,14.64,0,0.62,8.93,81.9,7.8671,3,221.6,17.2,161.46,11.35,16.4
1.63425,82,1.66,1,0.54,5.59,32.8,5.0536,10,198.2,28.5,217.91,8.7,43.2
0.17276,72,24.36,1,0.61,7.46,8.9,7.3407,6,145.6,12.7,16.07,31.3,29.0
0.13776,1,22.68,1,0.52,8.35,14.9,7.3682,7,654.9,19.6,398.3,20.38,37.9
0.05284,99,24.59,1,0.67,5.15,15.5,9.6583,13,216.6,25.2,22.78,5.43,14.3
0.00828,46,21.45,0,0.63,4.54,67.1,3.9702,6,443.4,28.0,109.07,35.07,13.8
1.32628,55,25.51,1,0.48,6.54,55.8,4.237,12,324.2,28.6,28.85,16.43,31.3
0.5542,10,8.92,0,0.54,8.7,18.1,7.2615,20,433.2,12.2,219.04,24.77,13.6
0.76891,74,8.18,0,0.62,8.35,45.1,4.3594,7,485.5,20.8,140.73,39.01,13.9
0.16545,24,1.26,0,0.56,5.09,50.8,8.4572,7,604.0,14.2,150.12,23.76,9.5
